star,hit rate,작품개수
Emile Hirsch,1.9826923658333333,4
Emilia Clarke,10.4157093,1
Emilio Echevarría,10.4542335,1
Emilio Estevez,8.297888288507327,8
Emily Baldoni,2.7949,1
Emily Bergl,0.8458430952380952,1
Emily Blunt,6.681567572558596,6
Emily Browning,1.095030512195122,1
Emily Lloyd,0.1962206111111111,1
Emily Mortimer,2.2337307407407407,1
Emily Perkins,0.0005108,1
Emily Watson,1.43001342,2
Eminem,5.923782390243902,1
Emma Roberts,2.4769567624812034,5
Emma Stone,6.048746200416667,4
Emma Thompson,4.994221791714286,5
Emma Watson,5.080702307291666,2
Eric Balfour,6.6984887,1
Eric Bana,1.8707197871324297,5
Eric Bogosian,0.867143,1
Eric Christian Olsen,0.9299551,1
Eric Roberts,0.7128744226190475,3
Eric Stoltz,0.36781162654320987,3
Erich Anderson,12.684953846153846,1
Essie Davis,5.15627,1
Ethan Hawke,5.111256944495993,18
Eugenio Derbez,6.929222975,2
Eva Green,2.6952949636363637,1
Evan McGuire,0.2254265,1
Evan Rachel Wood,2.0316777527777776,4
Everett McGill,1.6770092,1
Everett Silas,0.52354,1
Everlyn Sampi,2.7029018333333332,1
Ewan McGregor,2.437317790523836,13
F. Murray Abraham,2.8925995,1
Faye Dunaway,1.9485331,2
Federico Luppi,0.310696,1
Felicity Huffman,15.151744,1
Felicity Jones,7.5425732000000005,3
Fernanda Andrade,101.75849,1
Fernanda Montenegro,2.0589906896551726,1
Fionn Whitehead,5.27016307,1
Fisher Stevens,1.4420058666666666,1
Flex Alexander,0.6159448333333334,1
Florence Pugh,5.329737333333333,1
Forest Whitaker,2.485879314814815,3
Fran Drescher,0.71793,1
Frances McDormand,10.679484466666667,1
Frank Grillo,12.1476365,2
Frank Langella,1.0970534,1
Franka Potente,3.567237066666667,1
Frankie Muniz,3.645240191666667,4
Fred Savage,2.3798166666666667,1
Fred Willard,2.0789556,1
Freddie Highmore,1.476171033710992,4
Freddie Prinze Jr.,2.751328058856952,6
Frederic Forrest,0.024492153846153848,1
French Stewart,0.73115875,1
G.W. Bailey,0.02036241935483871,1
Gabourey Sidibe,6.3649529,1
Gabriel Byrne,0.4166196619047619,2
Gabriel Damon,0.039085714285714286,1
Gabriel Macht,0.6527406833333333,1
Gabriella Wilde,1.73590865,1
Gabrielle Anwar,0.032989846153846154,1
Gabrielle Union,3.1609243,1
Gael García Bernal,8.0846558,1
Gal Gadot,5.52231222818792,1
Garret Dillahunt,3.0663482,1
Garrett Hedlund,1.3686129333333332,1
Garry Shandling,0.23576128333333332,1
Gary Busey,6.962510790562379,2
Gary Graham,0.1272977,1
Gary Oldman,2.5486558241002926,7
Gaspard Ulliel,1.64339768,1
Geena Davis,0.6233685776556777,3
Gemma Arterton,1.12114875,1
Gena Rowlands,1.7957854779110445,3
Gene Hackman,1.8190968374709335,15
Gene Wilder,1.7172329188034188,2
Geneviève Bujold,3.5574757142857143,1
Geoffrey Rush,3.009665749112749,3
George C. Scott,2.561146642857143,1
George Clooney,2.924460977639592,20
George Dzundza,0.0201255,1
George Hearn,0.8145758666666667,1
George Kennedy,4.0,1
George Segal,1.5944321666666668,1
George Strait,1.5164458,1
Georgia Engel,11.467311,1
Gerard Butler,2.1963534161345137,14
Gerardo Taracena,3.016830675,1
Gillian Anderson,0.35747215,2
Gina Carano,1.5005982608695652,1
Gina Philips,5.9371303,1
Gina Rodriguez,1.025572,1
Ginnifer Goodwin,4.386379506507937,3
Giovanni Ribisi,4.111465,1
Glen Campbell,0.6476325,1
Glen Hansard,139.57814666666667,1
Glenn Close,1.7589553261858075,6
Glenn Jacobs,2.33849575,1
Glenn Plummer,0.343299,1
Goldie Hawn,3.0038239275363523,6
Graham Chapman,0.6615384615384615,1
Grant Bardsley,0.48383390909090906,1
Greg Evigan,1.017903125,1
Greg Kinnear,2.409424889069264,4
Greg Stebner,0.5731608181818182,1
Gregory Hines,0.4193168461538462,1
Griffin Dunne,2.357626888888889,1
Gugu Mbatha-Raw,1.806010152686763,2
Guy Pearce,1.6049460033333336,5
Gwyneth Paltrow,2.8617699447619054,7
Gérard Depardieu,1.2720336446808511,2
Hailee Steinfeld,2.809407203703704,2
Hal Holbrook,2.628594375,1
Hal Scardino,0.7923584666666666,1
Haley Joel Osment,1.494190943174603,3
Haley Lu Richardson,13.075399285714285,1
Halle Berry,2.1733224434047407,6
Hank Azaria,2.603982089393939,2
Harley Jane Kozak,0.24110623076923077,1
Harrison Ford,3.9805582852175077,26
Harry Dean Stanton,0.086,1
Harry Hamlin,0.8955735,1
Hart Bochner,0.3168945,1
Harvey Keitel,1.0626886444329573,8
Hayden Christensen,3.052512411325946,7
Hayden Panettiere,0.8789948333333333,1
Heath Ledger,1.0569237517200694,5
Heather Donahue,4143.984983333334,1
Heather Graham,0.013453666666666666,1
Heather Langenkamp,8.863299541666667,3
Heather Matarazzo,5.71127375,1
Heather O'Rourke,1.3442369523809523,1
Heather Sossaman,62.88209,1
Helen Hunt,5.374690478260869,1
Helen Mirren,4.144065128406038,9
Helen Shaver,1.9936704,1
Helen Slater,0.40846965714285716,1
Helena Bonham Carter,0.07519421764705883,2
Henry Cavill,2.066231338611111,4
Henry Thomas,75.51529085714286,1
Hera Hilmar,0.83869818,1
Hideaki Anno,4.551108566666667,1
Hiep Thi Le,0.17772572727272729,1
Hilary Duff,2.4806831078173373,4
Hilary Swank,3.2533331664965988,7
Himesh Patel,5.892052653846154,1
Hitoshi Takagi,8.257005405405405,1
Holly Hunter,3.308376082142857,2
Howard E. Rollins Jr.,3.6368911666666666,1
Howard Stern,1.4725285357142857,1
Howie Long,0.429748,1
Huey Lewis,0.31524961904761906,1
Hugh Bonneville,5.134139690909091,1
Hugh Grant,7.018862364172622,12
Hugh Jackman,2.831268914207075,13
Hugh Laurie,0.8117128,1
Hugo Weaving,2.4539080555555555,1
Hulk Hogan,1.2232817875000002,2
Hume Cronyn,2.60355188,1
Hye-ja Kim,3.4407014,1
Ian Bannen,18.41915,1
Ian McKellen,2.4115779811601734,5
Ian Michael Smith,0.6084471666666667,1
Ice Cube,3.9879021228124016,10
Idris Elba,1.4922885957017544,4
Iko Uwais,4.888075060606061,2
Illeana Douglas,0.1320626,1
Imelda Staunton,1.206169909090909,1
Ioan Gruffudd,2.8288840200000003,2
Irrfan Khan,11.621777,1
Isabela Merced,2.4425027551020406,1
Isabella Rossellini,1.436461,1
Ivana Baquero,4.413171947368421,1
J. Michael Finley,12.298125857142857,1
Jack Black,2.790734443741122,13
Jack Huston,0.94061311,1
Jack Lemmon,1.1231410515655946,5
Jack Mulcahy,43.8088487394958,1
Jack Nicholson,1.799854673787492,18
Jack O'Connell,2.4839891846153845,1
Jack Palance,0.21714795555555555,1
Jack Thompson,0.037437866666666667,1
Jackie Chan,3.4352534696434938,18
Jackie Earle Haley,2.3657991335164836,2
Jackie Mason,0.5899151,1
Jacob Tierney,0.09112333333333333,1
Jacob Tremblay,10.431163025,2
Jada Pinkett Smith,4.621209555555556,1
Jaden Smith,1.873938323076923,1
Jaime Pressly,0.3601510476190476,1
Jake Gyllenhaal,2.8902515201494148,17
Jake Johnson,8.130879470588235,1
Jake Schur,0.19521225,1
Jake T. Austin,0.4750625142857143,1
Jamal Woolard,2.22100835,1
James Allen McCune,9.0346308,1
James Arnold Taylor,0.66928685,1
James Caan,2.021402687984849,5
James Corden,7.02992132,1
James Cromwell,8.471163666666667,1
James Franco,2.6193971321620313,7
James Karen,1.4848264516129033,1
James Le Gros,2.427617,1
James Levine,1.135932125,1
James Lorinz,0.0820272,1
James Marsden,0.906009323525641,4
James Marshall,0.46117205,1
James McAvoy,7.355417899387224,9
James Olson,2.5069634,1
James Ransone,5.332915,1
James Spader,4.99627379,5
James Van Der Beek,2.1238964945175436,3
James Woods,0.5096091089152435,5
Jamie Bell,8.226201926870006,3
Jamie Foxx,1.773776538846872,6
Jamie Kennedy,1.5111164904761905,2
Jamie Lee Curtis,7.5043935774057315,8
Jane Adams,1.3554595454545455,1
Jane Fonda,2.4079577146769577,7
Jane Levy,5.737820705882353,1
Janeane Garofalo,0.0590412,1
Janet Jackson,2.2692592634920636,3
Jang Dong-Gun,3.112183034970238,2
Jared Gilman,4.266501375,1
Jared Harris,89.17581,1
Jared Leto,1.7766441028368793,3
Jared Padalecki,4.816271263157895,1
Jason Bateman,3.3079533722728787,12
Jason Beghe,0.763511,1
Jason Biggs,7.004963014343435,6
Jason Clarke,4.542632767965368,2
Jason David Frank,1.20198,1
Jason Drucker,1.8245896363636365,1
Jason James Richter,7.68493125,1
